,user_id,content_recommendation
0,1,"[32, 33, 45, 40, 46, 47, 48, 49, 50, 51, 34, 35, 36, 37, 60, 56, 57, 41, 58, 59, 16]"
1,2,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 41, 34, 35, 36, 37, 49, 56, 57, 58, 59, 60, 45, 40, 46, 47, 48, 50, 51]"
2,3,"[42, 43, 44, 14, 41, 19, 76, 11, 40, 77]"
3,4,"[41, 19, 76, 11, 14, 42, 43, 44, 20, 18, 21, 77]"
4,6,"[27, 28, 29, 30, 31, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 32, 33, 44, 21, 52, 53, 54, 18, 55, 45, 40, 46, 47, 48, 49, 50, 51]"
5,10,"[23, 24, 25, 26, 32, 33, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 45, 40, 46, 47, 48, 49, 50, 51, 44, 21, 52, 53, 54, 18, 55]"
6,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 45, 40, 46, 47, 48, 49, 50, 51, 34, 35, 36, 37, 60, 13, 14, 15, 16, 17, 18, 19]"
7,16,"[13, 14, 15, 16, 17, 2, 18, 19, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 41, 49, 56, 57, 58, 59, 60, 45, 40, 46, 47, 48, 50, 51]"
8,17,"[20, 18, 21, 41, 19, 76, 11, 42, 43, 44, 40, 77]"
9,18,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 49, 60, 32, 33, 45, 46, 47, 48, 50, 51, 56, 57, 58, 59, 16]"
10,19,"[20, 2, 18, 21, 41, 19, 76, 11, 14, 40, 77]"
11,20,"[32, 33, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 34, 35, 36, 37, 60, 13, 14, 15, 16, 17, 18, 19]"
12,21,"[71, 42, 72, 19, 73, 49, 74, 75, 41, 23, 25, 26, 27, 28, 29, 30, 31, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 32, 33]"
13,22,"[60, 61, 62, 63, 64, 2, 17, 13, 65, 66, 67, 68, 19, 69, 70, 34, 35, 36, 37, 14, 15, 18, 45, 40, 46, 47, 48, 50, 51]"
14,23,"[56, 57, 41, 58, 59, 16, 34, 35, 36, 37, 13, 14, 15, 17, 2, 18, 19, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 45, 40, 46, 47, 48, 50, 51]"
15,25,"[14, 15, 16, 18, 34, 35, 36, 37, 49, 56, 57, 58, 59, 60, 45, 40, 46, 47, 48, 50, 51]"
16,26,"[44, 24, 11, 21, 52, 53, 54, 55, 23, 25, 26, 27, 28, 29, 30, 31, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 32, 33]"
17,27,"[42, 43, 44, 40, 20, 18, 21, 14, 77]"
18,1147,"[41, 2, 19, 76, 11, 20, 18, 21, 42, 43, 44, 14]"
19,1542,"[41, 2, 19, 76, 11, 20, 18, 21, 42, 43, 44, 14]"
