,Unnamed: 0,user_id,content_id,loc,weekdays/weekends,gender,profession,age,age_category,event,view,time,device,section,cp,watch_time,t_gap,documentary,quiz,contest,audition,history,news,sports,drama,romantic relationship,reality,sitcom,action,talk,family,comedy,sf fantasy,sf,mid,adventure,romance,trip,game,fantasy,mini series,horror,crime,mystery,g_avg,m_avg,u_avg,um_avg,simu1,simu2,simu3,simu4,simu5,mat_fact_pred
0,0,1,1,1,1,2,1,25,1,1,1,1,3,5,5,0.0,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
1,1,1,1,1,1,2,1,25,1,0,1,1,3,5,5,62.5,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
2,2,1,1,1,1,2,1,25,1,0,1,1,3,5,5,62.5,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
3,3,1,1,1,1,2,1,25,1,0,1,1,3,5,5,49.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
4,4,1,1,1,1,2,1,25,1,0,1,1,3,5,5,49.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
5,5,1,1,1,1,2,1,25,1,0,1,1,3,5,5,63.5,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
6,6,1,1,1,1,2,1,25,1,0,1,1,3,5,5,63.5,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
7,7,1,1,1,1,2,1,25,1,0,1,1,3,5,5,74.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
8,8,1,1,1,1,2,1,25,1,0,1,1,3,5,5,74.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
9,9,1,1,1,1,2,1,25,1,1,3,1,3,5,5,0.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
10,10,1,1,1,1,2,1,25,1,0,3,1,3,5,5,64.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
11,11,1,1,1,1,2,1,25,1,0,3,1,3,5,5,64.0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
12,12,1,1,1,1,2,1,25,1,1,3,1,1,5,5,0.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
13,13,1,1,1,1,2,1,25,1,0,3,1,1,5,5,52.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
14,14,1,1,1,1,2,1,25,1,0,3,1,1,5,5,52.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
15,15,1,1,1,1,2,1,25,1,0,3,1,1,5,5,61.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
16,16,1,1,1,1,2,1,25,1,0,3,1,1,5,5,61.0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,55.60981754332392,56.30740740740741,55.776129032258204,56.30740740740741,0,0,0,0,0,56.67686259875664
17,17,1,2,1,1,2,1,25,1,1,1,11,1,1,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
18,18,1,2,1,1,2,1,25,1,0,1,11,1,1,1,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
19,19,1,2,1,1,2,1,25,1,0,1,11,1,1,1,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
20,20,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
21,21,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
22,22,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
23,23,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
24,24,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
25,25,1,2,1,1,2,1,25,1,0,1,11,1,1,1,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55.60981754332392,55.814832089552205,55.776129032258204,55.05128205128207,0,56,50,0,0,56.37925108533377
