,user_number,title,content number,genre,loc,Weekdays/Weekends,Gender,Profession,Age,age,event,view,time,device,section,CP,watch time ( candle ),t-gap
0,1, game of thrones season 3,2," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,1,1,1,3,5,5,0.0,3151
1,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,1,1,3,5,5,62.5,3144
2,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,1,1,3,5,5,62.5,3144
3,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,1,1,3,5,5,49.0,3144
4,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,1,1,3,5,5,49.0,3144
5,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,1,1,3,5,5,63.5,3144
6,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,1,1,3,5,5,63.5,3144
7,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,1,1,3,5,5,74.0,3144
8,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,1,1,3,5,5,74.0,3144
9,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,1,3,1,3,5,5,0.0,3144
10,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,1,3,5,5,64.0,3144
11,1, game of thrones season 3,3," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,1,3,5,5,64.0,3144
12,1, game of thrones season 3,4," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,1,3,1,1,5,5,0.0,3137
13,1, game of thrones season 3,4," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,1,1,5,5,52.0,3137
14,1, game of thrones season 3,4," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,1,1,5,5,52.0,3137
15,1, game of thrones season 3,4," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,1,1,5,5,61.0,3137
16,1, game of thrones season 3,4," 19, SF, SF fantasy , mid , fantasy",1,1,2,1,25,1,0,3,1,1,5,5,61.0,3137
17,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,1,1,11,1,1,1,0.0,1
18,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,52.0,1
19,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,52.0,1
20,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
21,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
22,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
23,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
24,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
25,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
26,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
27,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
28,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,1,11,1,1,1,60.0,1
29,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,1,2,14,1,1,1,0.0,1
30,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,23.0,1
31,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,61.0,1
32,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,59.5,1
33,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,59.5,1
34,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,61.0,1
35,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
36,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,59.0,1
37,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
38,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,1,2,14,1,1,1,0.0,1
39,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
40,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
41,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
42,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
43,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
44,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
45,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
46,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
47,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
48,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,61.0,1
49,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,62.0,1
50,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,59.5,1
51,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,59.5,1
52,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,61.0,1
53,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,60.0,1
54,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,61.0,1
55,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,57.5,1
56,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,57.5,1
57,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,71.0,1
58,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,53.5,1
59,1, Running Man,580," game , etc , variety , Trip",1,1,2,1,25,1,0,2,14,1,1,1,53.5,1
